original_title,budgets,popularity,revenue,runtime,vote_average,vote_count,spoken_languages,release_year,production_companies,genres
"Danzig: [1995] Live at Fargo, ND",0,0.6,0,0.0,7.0,1,,1995,,
Black Sabbath: [1995] Live in Malta,0,0.6,0,0.0,0.0,0,,1995,,
Metallica: [1995] Monsters of Rock UK,0,0.6,0,0.0,0.0,0,,1995,,
Queensryche: [1995] An Evening In Paris,0,0.6,0,0.0,0.0,0,,1995,,
The Rolling Stones: Live from Paris 1995,0,0.659,0,125.0,9.0,2,,1995,,Music
Almamegretta – Sanacore Tour 1995 Live In Napoli,0,0.6,0,0.0,0.0,0,,2012,,
King Crimson - Live at the Warfield Theatre 1995,0,0.6,0,0.0,0.0,0,English,2015,,
Willy DeVille: Live at Rockpalast (1995 & 2008),0,0.6,0,180.0,4.3,2,,2008,,Music
"Elton John - Estadio Do Flamengo, Rio, Brasil 1995",0,0.6,0,0.0,0.0,0,,2020,,
Timeline: The History of WWE – 1995 – As Told By Kevin Nash,0,1.4,0,197.0,10.0,1,,2012,,
Soul Makossa Manu Dibango jazz Open Stuttgart - 1995,0,0.6,0,0.0,0.0,0,English,2022,"SDR, Stuttgart",Music
Rock et Belles Oreilles: The DVD 1994-1995,0,1.371,0,0.0,8.0,1,Français,2001,Amérimage-Spectra,Comedy
Drum Corps International Legacy Collection - 1995 World Championships,0,0.6,0,,10.0,1,,,,Music
Ozzy Osbourne: [1995] Monsters Of Rock Chile,0,0.6,0,0.0,0.0,0,,1995,,
Dream Theater: [1995] Waking Up The Forum,0,0.6,0,0.0,0.0,0,,1995,,
"Phish: 12-01-1995 Hershey Park Arena, Hershey, PA",0,0.84,0,120.0,0.0,0,English,1995,JEMP Records,
Manchester United: The Double 1995-96,0,0.6,0,120.0,0.0,0,,1996,,
Rammstein: The Videos Uncensored 1995-2009,0,0.6,0,0.0,0.0,0,,,EMI,Music
Shane MacGowan & The Popes: Live at Montreux 1995,0,0.6,0,59.0,6.6,4,English,2004,,Music
The Alan Parsons Project  - Live in Santiago Chile 1995,0,0.6,0,118.0,7.0,1,English,1995,,
Chet Atkins: Rare Performances 1976-1995,0,0.6,0,,0.0,0,,,,
1995 FIA Formula One World Championship Season Review,0,0.62,0,0.0,8.0,1,,1995,,
The Cult: Pure Cult Anthology 1984-1995,0,0.841,0,0.0,0.0,0,English,2001,,Music
1995 Dallas Cowboys: The Official Super Bowl Film,0,0.6,0,57.0,0.0,0,English,1996,NFL Films,Documentary
1995 Atlanta Braves: The Official World Series Film,0,0.6,0,106.0,0.0,0,English,1995,Major League Baseball Productions,Documentary
Iron Maiden: [1995] X Factour Headbangers Ball Special,0,0.6,0,0.0,0.0,0,,1995,,
New York Film Diary,0,0.6,0,96.0,0.0,0,No Language,1995,,
Glimpses from a Visit to Orkney in Summer 1995,0,0.6,0,4.0,0.0,0,,2020,,
Maze feat. Frankie Beverly: Live at The Hammersmith Odeon 1995,0,0.6,0,0.0,0.0,0,,,,
Def Leppard: Acoustic Night  Secret Gig Tokyo 11 November 1995,0,0.6,0,0.0,0.0,0,,,,Music
"Def Leppard: Acoustic Night Secret Gig - Tokyo, November 11th 1995",0,0.6,0,0.0,0.0,0,,,,Music
Xagoroloi Bohudoor ( It’s a Long Way to the Sea ) -1995,0,0.6,0,106.0,0.0,0,,,,
Mike and the Mechanics - Live at the House of Blues 1995,0,0.6,0,0.0,0.0,0,,1995,,
The Mission - Live At Rockpalast 1990-1995,0,0.6,0,0.0,0.0,0,,2018,,
Michal Pavlíček & Friends: Best of Klobouček 1995-2004,0,0.6,0,0.0,0.0,0,Český,2005,,
"Depeche Mode: 1995–98 “Oh, Well, That's the End of the Band…”",0,0.6,0,47.0,5.0,1,English,2007,Mute Films,Documentary Music
Jean Michel Jarre - Concert pour la tolerance Paris tour Eiffel - 1995,0,0.6,0,0.0,0.0,0,,,,
"Phish: 10-21-1995 Pershing Auditorium, Lincoln, NE",0,0.6,0,120.0,0.0,0,,1995,JEMP Records,Music
Timeline: The History of ECW – 1995 – As Told By The Sandman,0,0.6,0,94.0,0.0,0,,,,
"Sublime: 3 Ring Circus - Live at Las Palmas Theater, Hollywod, CA: February 17, 1995",0,0.956,0,76.0,0.0,0,English,2013,,Music
"Magic Kingdom Club Gold Card 1995 Update ""Wonderful World of Disney""",0,0.6,0,0.0,0.0,0,,1995,,
"Five Year Diary, Reel 83: Untitled (December 24, 1995–March 18, 1997)",0,0.6,0,25.0,0.0,0,,1997,,
"Sublime: 3 Ring Circus - Live at The Palace, Hollywood, CA: October 21, 1995",0,0.6,0,80.0,0.0,0,English,2013,,Music
"Yitzhak Rabin, 1922-1995 : Le guerrier de la paix",0,0.6,0,,0.0,0,,2015,,Documentary History
De la ilusión al desconcierto: Cine colombiano 1970-1995,0,0.6,0,0.0,0.0,0,,2007,,Documentary
Thunder - Flawed To Perfection (The Video Collection 1990-1995),0,0.6,0,150.0,0.0,0,,2005,,
Arrêt sur images : le traitement par la télévison de la grêve de 1995,0,0.6,0,52.0,0.0,0,,1996,Arrêt sur images,
"Five Year Diary, Reel 81: Mourning Emily (September 27, 1994–January 29, 1995)",0,0.6,0,27.0,0.0,0,,1995,,
世界奇妙物语1995年秋之特别篇,0,0.6,0,0.0,0.0,0,,,,
世界奇妙物语1995年春之特别篇,0,0.6,0,0.0,0.0,0,,,,
John Paul II Vol 3: 1992-1995: Witness to Peace,0,0.6,0,,0.0,0,,2006,,
"Phish -1995-06-19 - Deer Creek Music Center, Noblesville, IN Webcast",0,0.6,0,0.0,0.0,0,,,,
"Laurie Anderson: Stories From The Nerve Bible 1995-03-09 Kansas City, MO",0,0.6,0,0.0,0.0,0,,,,
"Wet Wet Wet – Picture This – All Around And In The Crowd Live At Wembley Arena, 30th July 1995",0,0.6,0,0.0,0.0,0,English,,,Music
冒险游戏,0,0.6,0,0.0,0.0,0,广州话 / 廣州話,1995,Wishing Well Film Company Limited,Drama
Luna Sea: Lunatic Tokyo 1995.12.23 Tokyo Dome,0,0.651,0,0.0,4.8,2,,2002,,Music
The 16th Man,0,2.65,0,53.0,6.6,10,,2010,Revelations Entertainment,Documentary
Croce e delizia,0,1.4,0,,6.0,1,Italiano,1995,,Comedy
மாயாபஜார்,0,0.84,0,148.0,0.0,0,தமிழ்,1995,P. A. Art Productions,Drama Comedy Horror
